"Annotation" "Reads.1" "Reads.2" "Reads.3" "Reads.4" "Reads.5" "Reads.6" "Reads.7" "Reads.8" "Reads.9" "Reads.10" "Reads.11" "Reads.12" "Reads.13" "Reads.14" "Reads.15" "Reads.16" "Reads.17" "Reads.18" "Reads.19" "Reads.20" "Reads.21" "Reads.22" "Reads.23" "Reads.24"
"777" "mmu-miR-351-3p" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"778" "mmu-miR-365-2-5p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"779" "mmu-miR-376c-5p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"780" "mmu-miR-466d-5p" NA NA NA NA NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"781" "mmu-miR-466n-5p" NA NA NA NA NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"782" "mmu-miR-467h" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA 1 NA NA
"783" "mmu-miR-483-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"784" "mmu-miR-5132-5p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 2 NA NA NA
"785" "mmu-miR-540-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"786" "mmu-miR-615-5p" NA NA NA NA NA 1 NA 2 1 NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"787" "mmu-miR-6399" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA
"788" "mmu-miR-6418-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA
"789" "mmu-miR-669m-3p" NA NA NA NA NA 1 32 2 NA NA NA NA NA 2 NA 4 2 14 2 19 NA NA 2 1
"790" "mmu-miR-6897-5p" NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"791" "mmu-miR-6908-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"792" "mmu-miR-6911-3p" NA NA NA NA NA 2 NA NA NA NA NA NA 1 NA NA NA 5 NA 3 NA NA 11 NA NA
"793" "mmu-miR-6934-5p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"794" "mmu-miR-6944-3p" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA 6 NA
"795" "mmu-miR-6946-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA 1 NA
"796" "mmu-miR-6962-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"797" "mmu-miR-6971-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA 1 NA
"798" "mmu-miR-6978-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA 1 NA
"799" "mmu-miR-6983-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"800" "mmu-miR-6986-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"801" "mmu-miR-7007-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA
"802" "mmu-miR-7009-5p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"803" "mmu-miR-7012-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"804" "mmu-miR-7025-3p" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"805" "mmu-miR-7037-5p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"806" "mmu-miR-704" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"807" "mmu-miR-7043-3p" NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 3 NA 1 NA
"808" "mmu-miR-7045-3p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"809" "mmu-miR-7083-5p" NA NA NA NA NA 2 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 4 4
"810" "mmu-miR-7092-3p" NA NA NA NA NA 4 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"811" "mmu-miR-7092-5p" NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"812" "mmu-miR-7115-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA
"813" "mmu-miR-7657-5p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"814" "mmu-miR-7668-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"815" "mmu-miR-7688-5p" NA NA NA NA NA 1 NA 1 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 6
"816" "mmu-miR-7a-2-3p" NA NA NA NA NA 2 NA NA NA 2 NA NA NA NA NA NA 5 NA 1 NA NA NA NA NA
"817" "mmu-miR-8094" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"818" "mmu-miR-8103" NA NA NA NA NA 2 NA NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA
"819" "mmu-miR-8118" NA NA NA NA NA 1 NA NA 3 NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA
"820" "mmu-miR-375-5p" NA NA NA NA NA NA 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"821" "mmu-miR-12184-5p" NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"822" "mmu-miR-3077-3p" NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"823" "mmu-miR-3086-5p" NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA 1 8 NA NA NA NA NA NA
"824" "mmu-miR-381-5p" NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"825" "mmu-miR-429-5p" NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"826" "mmu-miR-6902-3p" NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"827" "mmu-miR-6954-3p" NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"828" "mmu-miR-7032-3p" NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA 1 NA NA 4 NA NA 1 NA
"829" "mmu-miR-7652-3p" NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"830" "mmu-miR-18b-3p" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"831" "mmu-miR-192-3p" NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA NA 1 NA NA NA 1 NA
"832" "mmu-miR-3059-5p" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"833" "mmu-miR-3099-3p" NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"834" "mmu-miR-370-5p" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"835" "mmu-miR-410-5p" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 9 NA NA NA NA
"836" "mmu-miR-452-5p" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA 1 4 NA NA NA NA NA NA
"837" "mmu-miR-5134-3p" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"838" "mmu-miR-6939-3p" NA NA NA NA NA NA NA NA 1 NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA
"839" "mmu-miR-6940-3p" NA NA NA NA NA NA NA NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"840" "mmu-miR-7059-5p" NA NA NA NA NA NA NA NA 1 NA 1 NA NA NA NA 1 2 NA 1 NA 1 NA NA 14
"841" "mmu-miR-7065-3p" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"842" "mmu-miR-877-5p" NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"843" "mmu-miR-12194-3p" NA NA NA NA NA NA NA NA NA 1 2 NA NA NA NA 2 NA NA NA NA NA 16 NA NA
"844" "mmu-miR-126b-5p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"845" "mmu-miR-135b-3p" NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA 1 NA NA 2 NA NA 2 NA
"846" "mmu-miR-181d-3p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"847" "mmu-miR-1929-5p" NA NA NA NA NA NA NA NA NA 1 NA NA 1 NA 18 NA NA NA NA 3 NA NA 3 NA
"848" "mmu-miR-1948-5p" NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA 4 3 NA NA NA
"849" "mmu-miR-196a-2-3p" NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"850" "mmu-miR-34a-3p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 8 NA
"851" "mmu-miR-3569-5p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"852" "mmu-miR-466f" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"853" "mmu-miR-466k" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"854" "mmu-miR-6516-3p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA
"855" "mmu-miR-677-5p" NA NA NA NA NA NA NA NA NA 3 NA NA 1 NA 61 NA NA NA NA NA NA NA NA 1
"856" "mmu-miR-6896-5p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"857" "mmu-miR-6913-3p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA 1 NA 2 NA NA NA NA NA
"858" "mmu-miR-6922-3p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"859" "mmu-miR-6943-3p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"860" "mmu-miR-6952-3p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 7
"861" "mmu-miR-6983-5p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"862" "mmu-miR-7008-5p" NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"863" "mmu-miR-7085-5p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"864" "mmu-miR-7229-5p" NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"865" "mmu-miR-7648-3p" NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"866" "mmu-miR-7669-3p" NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA 8 NA NA NA
"867" "mmu-miR-7669-5p" NA NA NA NA NA NA NA NA NA 1 NA NA 1 NA NA NA 1 NA NA NA NA NA 2 NA
"868" "mmu-miR-124-5p" NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 2 NA 1 NA
"869" "mmu-miR-7659-5p" NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"870" "mmu-miR-7069-3p" NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"871" "mmu-miR-449c-3p" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA 1 NA NA NA
"872" "mmu-miR-466l-3p" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 2 NA NA NA NA NA 1 NA
"873" "mmu-miR-6539" NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA 1 NA
"874" "mmu-miR-6908-5p" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA
"875" "mmu-miR-7091-3p" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA
"876" "mmu-miR-490-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA 3
"877" "mmu-miR-669d-2-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA 6 NA
"878" "mmu-miR-7235-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"879" "mmu-miR-873a-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA
"880" "mmu-miR-188-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 NA NA NA 3 NA NA NA NA NA
"881" "mmu-miR-6240" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA
"882" "mmu-miR-6537-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10 NA NA NA NA NA NA NA NA NA
"883" "mmu-miR-1194" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 NA NA NA NA NA NA NA
"884" "mmu-miR-1298-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA
"885" "mmu-miR-298-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA
"886" "mmu-miR-363-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7 NA NA NA NA 1 6 2 NA
"887" "mmu-miR-6998-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA
"888" "mmu-miR-7217-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA
"889" "mmu-miR-7218-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 NA NA NA NA NA NA NA
"890" "mmu-miR-107-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 NA 5 NA NA NA
"891" "mmu-miR-124b-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 2 NA NA NA NA NA
"892" "mmu-miR-299b-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA 1 NA
"893" "mmu-miR-3073b-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"894" "mmu-miR-320-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 2 NA NA NA
"895" "mmu-miR-3572-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA NA NA NA NA
"896" "mmu-miR-466f-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"897" "mmu-miR-5114" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA 5 13
"898" "mmu-miR-5129-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA 1 NA
"899" "mmu-miR-6546-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"900" "mmu-miR-6916-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 4 NA NA NA NA NA NA
"901" "mmu-miR-6932-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"902" "mmu-miR-6938-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"903" "mmu-miR-6944-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"904" "mmu-miR-6976-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"905" "mmu-miR-6997-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA 2 NA NA NA
"906" "mmu-miR-7004-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"907" "mmu-miR-7018-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"908" "mmu-miR-7061-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA
"909" "mmu-miR-7068-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 4 NA NA NA NA NA
"910" "mmu-miR-7093-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 NA NA NA 1 NA
"911" "mmu-miR-7223-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"912" "mmu-miR-7226-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"913" "mmu-miR-7682-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA
"914" "mmu-miR-7687-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA 2 NA
"915" "mmu-miR-8104" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA
"916" "mmu-miR-1958" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA 4 NA NA NA
"917" "mmu-miR-382-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA 3 NA
"918" "mmu-miR-7013-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA
"919" "mmu-miR-7036b-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9 NA NA NA NA NA NA
"920" "mmu-miR-7653-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 17 NA NA NA NA 1 NA
"921" "mmu-miR-7675-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA NA NA NA
"922" "mmu-miR-12184-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"923" "mmu-miR-1941-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"924" "mmu-miR-3079-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 1 NA
"925" "mmu-miR-383-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA 1 12
"926" "mmu-miR-5621-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"927" "mmu-miR-6546-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA
"928" "mmu-miR-6911-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7 NA NA NA NA NA
"929" "mmu-miR-6948-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA
"930" "mmu-miR-7036a-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA
"931" "mmu-miR-7054-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"932" "mmu-miR-7054-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA
"933" "mmu-miR-7241-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA
"934" "mmu-miR-7646-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"935" "mmu-miR-5615-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA
"936" "mmu-miR-5626-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 NA NA NA NA
"937" "mmu-miR-669c-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 3 NA NA NA
"938" "mmu-miR-692" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA 1 NA
"939" "mmu-miR-7118-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA NA
"940" "mmu-miR-1936" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA
"941" "mmu-miR-1956" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA
"942" "mmu-miR-1968-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"943" "mmu-miR-294-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA
"944" "mmu-miR-302d-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"945" "mmu-miR-3103-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA 2 NA
"946" "mmu-miR-5107-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA
"947" "mmu-miR-6903-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 2 NA
"948" "mmu-miR-6975-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"949" "mmu-miR-6997-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA
"950" "mmu-miR-7019-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA 5 NA
"951" "mmu-miR-7043-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"952" "mmu-miR-7046-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 NA NA NA
"953" "mmu-miR-7061-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"954" "mmu-miR-7647-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA 2 NA
"955" "mmu-miR-3090-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7 NA NA
"956" "mmu-miR-6950-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA
"957" "mmu-miR-103-1-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"958" "mmu-miR-1199-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"959" "mmu-miR-12187-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"960" "mmu-miR-211-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"961" "mmu-miR-3085-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"962" "mmu-miR-3093-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"963" "mmu-miR-3094-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"964" "mmu-miR-3098-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"965" "mmu-miR-3112-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"966" "mmu-miR-3544-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"967" "mmu-miR-483-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"968" "mmu-miR-491-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"969" "mmu-miR-5103" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4
"970" "mmu-miR-551b-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"971" "mmu-miR-5616-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"972" "mmu-miR-6540-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"973" "mmu-miR-666-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 NA
"974" "mmu-miR-669d-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA
"975" "mmu-miR-669i" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA
"976" "mmu-miR-6904-5p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"977" "mmu-miR-6916-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"978" "mmu-miR-6919-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"979" "mmu-miR-6929-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"980" "mmu-miR-6945-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"981" "mmu-miR-6964-3p" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
